"","lat","numspp","disparity"
"1",0,23,0.00684914332908207
"2",1,26,0.00718395776006099
"3",2,26,0.00718395776006099
"4",3,25,0.00706487381111854
"5",4,29,0.00728989401293275
"6",5,29,0.00728989401293275
"7",6,27,0.00726956755698107
"8",7,27,0.00726956755698107
"9",8,29,0.00728989401293275
"10",9,30,0.00735783580894133
"11",10,30,0.00735783580894133
"12",11,31,0.00732473827745334
"13",12,29,0.00728989401293275
"14",13,30,0.00735783580894133
"15",14,29,0.00728989401293275
"16",15,30,0.00735783580894133
"17",16,28,0.00736134105554241
"18",17,27,0.00726956755698107
"19",18,28,0.00736134105554241
"20",19,28,0.00736134105554241
"21",20,29,0.00728989401293275
"22",21,30,0.00735783580894133
"23",22,29,0.00728989401293275
"24",23,31,0.00732473827745334
"25",24,29,0.00728989401293275
"26",25,27,0.00726956755698107
"27",26,28,0.00736134105554241
"28",27,28,0.00736134105554241
"29",28,27,0.00726956755698107
"30",29,28,0.00736134105554241
"31",30,28,0.00736134105554241
"32",31,26,0.00718395776006099
"33",32,25,0.00706487381111854
"34",33,26,0.00718395776006099
"35",34,25,0.00706487381111854
"36",35,23,0.00684914332908207
"37",36,25,0.00706487381111854
"38",37,22,0.00666543378085299
"39",38,20,0.00646626873024034
"40",39,20,0.00646626873024034
"41",40,21,0.00658544170043512
"42",41,18,0.00590937632095291
"43",42,17,0.00538362293982546
"44",43,15,0.00488339804038589
"45",44,14,0.00504145187386117
"46",45,13,0.00520681440318537
"47",46,13,0.00520681440318537
"48",47,9,0.00386941714167378
"49",48,8,0.00386714567560642
"50",49,10,0.00509276400050521
"51",50,10,0.00509276400050521
"52",51,11,0.00508344195116155
"53",52,7,0.00377701359653551
"54",53,9,0.00386941714167378
"55",54,9,0.00386941714167378
"56",55,8,0.00386714567560642
"57",56,4,0.00333956825487992
"58",57,7,0.00377701359653551
"59",58,8,0.00386714567560642
"60",59,4,0.00333956825487992
"61",60,5,0.00356149551249152
"62",NA,NA,NA
"63",62,3,0.00306049207473656
"64",63,2,0.00315453460492002
"65",NA,NA,NA
"66",NA,NA,NA
"67",NA,NA,NA
"68",67,2,0.00315453460492002
